OD001158Yellow,M0913,YELLOW ADULTS ONLY,,3,,,,,,,,,,,,,,3,,
OD001188Silver,M0544,SILVER MUSLIM PRAYER ROOM,4,,2,,4,3,1,,,2,1,5,3,3,4,3,3,1.3
OD045085COPPER,M0281,Copper Special Friend Memorial DICK,,,2,3,3,3,2,1,3,3,,4,3,4,3,3,3,0.8
OD010016,M0350,BLACK DOG FRIENDLY PUB,7,5,1,3,,1,4,1,,,1,,3,4,1,3,3,2
OPL012005GreyUK,M0208,DOG FRIENDLY - GREY,1,4,3,1,3,3,2,2,,3,2,1,4,6,4,3,5,1.4
OPL014027UK,M0098,RUSTIC - Parcels & Deliveries,3,8,1,2,1,2,,,3,4,,,,1,,3,1,2.2
OM001036GOLD,M0469,GOLD MUM AND DAD PLAQUE,,1,,2,4,4,3,5,4,4,1,1,2,4,1,3,2,1.5
M0616,M0616,BLACK CLEAN UP AFTER DOG,,,,,,,,5,,4,,,,1,1,3,1,2.1
OD010022,M0356,BLACK DOG FRIENDLY AREA,,5,2,2,2,2,5,,,,,,1,,,3,1,1.6
OD048028US,M0093,Silver In Bath DND,3,5,2,4,2,2,,1,1,3,,6,,1,2,3,2,1.6
OPL020001BlackUS,M0111,Black Large Meeting DND,1,,2,4,1,3,4,5,3,,,,,,1,3,1,1.5
OPL014002LightBlueAU,M0160,Light Blue Septic Tank Adhesive,,2,1,,2,4,3,4,3,4,3,,1,4,1,3,2,1.2
OD001134,M0677,YELLOW NO DOGS ALLOWED,,4,3,7,1,2,4,4,1,,1,1,,1,,3,1,2
M0017,M0017,Red Please Ring Bell,2,6,3,3,3,1,3,2,2,,2,2,,3,2,3,3,1.2
OD001216_BW,M0247,Black CCTV In Operation,1,3,2,2,1,2,4,,3,3,,7,,2,1,3,2,1.7
M0202_CA,M0202,Black No Glass in Bin,2,2,,1,4,2,,6,,,,,1,,,3,1,1.8
2787,M0354,COPPER ACCESSIBLE TOILET & BABY CHANGE,,,,4,3,3,,,,2,2,,1,3,,3,2,1
OPL022006LFUK,M0533,WOOD EFFECT LIVED FOREVER DOG STAKE,2,1,4,2,3,1,1,8,3,,1,,,,2,3,2,2.1
M0164-2,M0164,Silver Mens Toilet Sign - DICK,,,,,4,2,,,,,,,1,,3,3,2,1.3
M0329,M0329,BLACK LADIES TOILET,,,,,,,,,,,4,,3,2,1,3,2,1.3
M0340,M0340,BLACK MENS TOILET,,,,,,,,,,,3,,3,3,1,3,2,1
OD001154Blue,M0442,BLUE SHOWER,,,,,3,2,,,,,,,,,,3,,0.7
OPL012005GreenUS,M0455,GREEN DOG FRIENDLY,,4,1,2,3,,1,,3,,1,,1,1,8,3,3,2.2
OD001090,M0570,BW DESIGNATED SMOKING AREA,,1,,,4,6,2,,,1,,3,,2,1,3,2,1.8
M0752,M0752,PLEASE HELP YOURSELF TO TEA & COFFEE - BLACK - STALIN,,,,,,,,,,,,,,1,4,3,3,2.1
OD001058,M0883,SILVER BABY CHANGE - IDI,,,,,,,,,,,,,,4,1,3,3,2.1
OP014004BlackboardUS,M0060,Black Lunch Break,4,2,1,3,2,1,2,1,3,3,3,2,3,4,,2,4,1
OPL022003UK,M0338,MUM AND DAD MEMORIAL STAKE GRAPHIC BLUE SKY GRASS,3,3,2,2,1,1,4,,1,4,2,1,1,5,4,2,3,1.4
M0163,M0163,Silver Ladies Toilet Sign - DICK,,,,,4,2,,,,,,,1,1,4,2,2,1.5
M0230,M0230,GREY ALL GENDER TOILET,,1,,1,,3,2,5,,,,,,,,2,,1.7
